,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
611,Ultimate Beastmaster México,tvshow,2018,TV-PG,3 Seasons,Competitors representing countries from around the world battle it out on a grueling obstacle course. Luis Ernesto Franco and Inés Sainz host.,"['Reality TV', 'Spanish-Language TV Shows']","['Luis Ernesto Franco', 'Inés Sainz', 'Tiki Barber', 'Chris Distefano', 'Francesco Facchinetti', 'Bianca Balti', 'Vidyut Jammwal', 'Sarah-Jane Dias', 'BIn Gu', 'Qinyi Du', 'Paula Vázquez', 'Saúl Craviotto', 'Gilles Marini', 'Sandy Heribert', 'Terry Crews', 'Charissa Thompson', 'Yuji Kondo', 'Sayaka Akimoto', 'Luke Mockridge', 'Hans Sarpei', 'Kyung-seok Seo', 'Kyeong-rim Park', 'Rafinha Bastos', 'Anderson Silva', 'Sylvester Stallone']",[],"['United States', 'Brazil', 'South Korea', 'Mexico', 'Japan', 'Germany']",['https://www.imdb.com/title/tt5607970/?ref_=plg_rt_1'],"New Season Added:August 31, 2018"
612,Ultraman,tvshow,2019,TV-14,1 Season,"Decades ago, a hero from the stars left this world in peace. Now, the son of Ultraman must rise to protect the Earth from a new alien threat.","['Anime Series', 'International TV Shows']","['Ryohei Kimura', 'Takuya Eguchi', 'Megumi Han', 'Hideyuki Tanaka', 'Sumire Morohoshi', 'Ken Uo', 'Shigeru Ushiyama', 'Ryota Takeuchi', 'Eiji Hanawa', 'Hirokazu Sekido', 'Minoru Shiraishi', 'Kenjiro Tsuda', 'Hiroaki Hirata', 'Kaiji Soze']",[],"['United States', 'Japan']",['https://www.imdb.com/title/tt8699270/?ref_=plg_rt_1'],"Added to Netflix:April 1, 2019"
613,Ultramarine Magmell,tvshow,2019,TV-14,1 Season,"Decades after the sudden birth of a new continent, a young rescuer-for-hire provides aid to adventurers exploring this dangerous, uncharted world.","['Anime Series', 'International TV Shows']","['Kengo Kawanishi', 'M・A・O', 'Toshiyuki Morikawa', 'Hibiku Yamamura', 'Satoshi Mikami', 'Koji Yusa', 'Hiroshi Yanaka', 'Shiro Saito', 'Keiichi Sonobe']",[],['Japan'],['https://www.imdb.com/title/tt11025120/?ref_=plg_rt_1'],"Added to Netflix:October 10, 2019"
614,Ultraviolet,tvshow,2019,TV-MA,2 Seasons,An online community of amateur sleuths use technology to solve crimes – and make quirky friends – in their quest for justice.,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']","['Marta Nieradkiewicz', 'Sebastian Fabijański', 'Agata Kulesza', 'Bartłomiej Topa', 'Magdalena Czerwińska', 'Michał Żurawski', 'Marek Kalita', 'Paulina Chapko', 'Karolina Chapko', 'Viet Anh Do']",[],['Poland'],['https://www.imdb.com/title/tt7514746/?ref_=plg_rt_1'],"New Season Added:December 19, 2019"
615,Unbelievable,tvshow,2019,TV-MA,1 Season,"After a young woman is accused of lying about a rape, two female detectives investigate a spate of eerily similar attacks. Inspired by true events.","['Crime TV Shows', 'TV Dramas']","['Toni Collette', 'Merritt Wever', 'Kaitlyn Dever', 'Dale Dickey', 'Scott Lawrence', 'Danielle Macdonald', 'Austin Hébert', 'Eric Lange', 'Elizabeth Marvel']",[],['United States'],['https://www.imdb.com/title/tt7909970/?ref_=plg_rt_1'],"Added to Netflix:September 13, 2019"
616,Unbreakable Kimmy Schmidt,tvshow,2019,TV-14,4 Seasons,"When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn’t think even existed anymore.",['TV Comedies'],"['Ellie Kemper', 'Jane Krakowski', 'Tituss Burgess', 'Carol Kane']",[],['United States'],['https://www.imdb.com/title/tt3339966/?ref_=plg_rt_1'],"New Season Added:May 30, 2018"
617,Undercover,tvshow,2019,TV-MA,1 Season,Undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends. Inspired by real events.,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']","['Tom Waes', 'Anna Drijver', 'Frank Lammers', 'Elise Schaap', 'Raymond Thiry', 'Kris Cuppens', 'Kevin Janssens', 'Huub Smit']",[],"['Belgium', 'Netherlands']",['https://www.imdb.com/title/tt7263154/?ref_=plg_rt_1'],"Added to Netflix:May 3, 2019"
618,Undercover Law,tvshow,2017,TV-MA,1 Season,Female intelligence agents infiltrate the disparate aspects of a Colombian cartel in an attempt to take down the drug lords and their associates.,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']","['Viña Machado', 'Juana del Río', 'Luna Baxter', 'Valeria Gálviz', 'Tommy Vasquez', 'Luis Mesa', 'Katherine Vélez', 'Juan Manuel Mendoza', 'Patrick Delmas', 'Ricardo Vesga', 'Toto Vega']",[],['Colombia'],['https://www.imdb.com/title/tt8888710/?ref_=plg_rt_1'],"Added to Netflix:August 31, 2018"
619,Unit 42,tvshow,2017,TV-MA,1 Season,A widowed cop tapped to lead a special cybercrimes unit teams up with a former hacker to hunt down tech-savvy criminals who are terrorizing Belgium.,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']","['Patrick Ridremont', 'Constance Gay', 'Tom Audenaert', 'Roda Fawaz', 'Danitza Athanassiadis']",[],['Belgium'],['https://www.imdb.com/title/tt6136644/?ref_=plg_rt_1'],"Added to Netflix:June 15, 2019"
620,Unnatural Selection,tvshow,2019,TV-MA,1 Season,"From eradicating disease to selecting a child’s traits, gene editing gives humans the chance to hack biology. Meet the real people behind the science.","['Docuseries', 'Science & Nature TV']",[],[],['United States'],['https://www.imdb.com/title/tt11063952/?ref_=plg_rt_1'],"Added to Netflix:October 18, 2019"
