,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
3373,The Sky Is Pink,movie,2019,TV-MA,143 min,"After succumbing to her terminal illness, a teenager posthumously narrates her parents’ tenacious relationship in this drama based on a true story.","Dramas,International Movies","Rohit Saraf,Zaira Wasim,Farhan Akhtar,Priyanka Chopra",Shonali Bose,"India,United Kingdom,Canada,United States",https://www.imdb.com/title/tt8902990/?ref_=plg_rt_1,"Added to Netflix:December 11, 2019"
3374,The Social Network,movie,2010,PG-13,121 min,Director David Fincher's biographical drama chronicles the meteoric rise of Facebook CEO Mark Zuckerberg from Harvard sophomore to Internet superstar.,Dramas,"Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Armie Hammer,Max Minghella,Josh Pence,Brenda Song,Rashida Jones,John Getz,David Selby",David Fincher,United States,https://www.imdb.com/title/tt1285016/?ref_=plg_rt_1,"Added to Netflix:April 1, 2020"
3375,The Son,movie,2019,TV-MA,93 min,"In this psychological thriller, painter Lorenzo's life spirals out of control as he fears his wife is trying to isolate him from their infant son.","Dramas,Independent Movies,International Movies","Joaquín Furriel,Martina Gusmán,Luciano Cáceres,Heidi Toini,Regina Lamm",Sebastián Schindel,Argentina,https://www.imdb.com/title/tt8160262/?ref_=plg_rt_1,"Added to Netflix:July 26, 2019"
3376,The Space Between Us,movie,2016,PG-13,120 min,"After years of limited contact with Earth, an inquisitive teen who lives on Mars makes an interplanetary trek to discover his own origins.","Action & Adventure,Romantic Movies,Sci-Fi & Fantasy","Gary Oldman,Asa Butterfield,Carla Gugino,Britt Robertson,BD Wong,Janet Montgomery,Trey Tucker",Peter Chelsom,United States,https://www.imdb.com/title/tt3922818/?ref_=plg_rt_1,"Added to Netflix:June 1, 2019"
3377,The Spectacular Now,movie,2013,R,95 min,"Classmates Aimee and Sutter form an unlikely friendship, and after helping Aimee raise her social confidence, Sutter begins falling for his creation.","Dramas,Independent Movies,Romantic Movies","Miles Teller,Shailene Woodley,Brie Larson,Jennifer Jason Leigh,Mary Elizabeth Winstead,Kyle Chandler,Dayo Okeniyi,Bob Odenkirk,Andre Royo,Masam Holden",James Ponsoldt,United States,https://www.imdb.com/title/tt1714206/?ref_=plg_rt_1,"Added to Netflix:July 15, 2018"
3378,The Spiderwick Chronicles,movie,2008,PG,97 min,"When city-raised twins move to a tumbledown country mansion, it's quite an adjustment – especially after they uncover a magical fantasy world.",Children & Family Movies,"Freddie Highmore,Mary-Louise Parker,Sarah Bolger,Joan Plowright,David Strathairn,Nick Nolte,Seth Rogen,Andrew McCarthy,Martin Short",Mark Waters,United States,https://www.imdb.com/title/tt0416236/?ref_=plg_rt_1,"Added to Netflix:March 1, 2019"
3379,The spiral,movie,1978,TV-MA,84 min,"When an unbearable stranger arrives at a winter mountain resort and vanishes overnight, his dark past comes to light.","Dramas,Independent Movies,International Movies","Jan Nowicki,Maja Komorowska,Zofia Kucówna,Aleksander Bardini,Jan Świderski,Seweryna Broniszówna,Piotr Garlicki,Marian Glinka",Krzysztof Zanussi,Poland,https://www.imdb.com/title/tt0078310/?ref_=plg_rt_1,"Added to Netflix:October 1, 2019"
3380,The Spooky Tale of Captain Underpants Hack-a-ween,movie,2019,TV-Y7,46 min,"When Melvin tries to cancel Halloween, clever best friends Harold and George create their own spooky holiday – and it's a huge success!","Children & Family Movies,Comedies","Nat Faxon,Jay Gragnani,Ramone Hamilton,Sean Astin,Dayci Brookshire,Clancy Brown,Jorge Diaz,Peter Hastings,Evan Kishiyama,David Koechner,Erica Luttrell,Patty Mattson,Brennan Murray,Kevin Michael Richardson,Mindy Sterling,Stephen Tobolowsky,Kari Wahlgren",,United States,https://www.imdb.com/title/tt10945060/?ref_=plg_rt_1,"Added to Netflix:October 8, 2019"
3381,The Spy Who Fell to Earth,movie,2019,TV-MA,94 min,"Based on Dr. Ahron Bregman's book, this documentary examines the life and mysterious death of Ashraf Marwan, an Egyptian billionaire and Israeli spy.","Documentaries,International Movies",,Thomas Meadmore,United Kingdom,https://www.imdb.com/title/tt7706168/?ref_=plg_rt_1,"Added to Netflix:April 5, 2019"
3382,The Square,movie,2013,TV-MA,105 min,"This Emmy-winning, street-level view of the 2011 Egyptian Revolution captures the astonishing uprising that led to the collapse of two governments.","Documentaries,International Movies","Ahmed Hassan,Khalid Abdalla,Magdy Ashour,Ramy Essam,Bothaina Kamel,Dina Abdullah,Aida Elkashef,Ragia Omran,Pierre Seyoufr,Dina Amer,Sherif Boray,Khaled Nagy,Salma Saied,Ahmed Saleh,Alaa Seif",Jehane Noujaim,"United Kingdom,Egypt,United States",https://www.imdb.com/title/tt2486682/?ref_=plg_rt_1,"Added to Netflix:January 17, 2014"
3383,The Squid and the Whale,movie,2005,R,81 min,This insightful drama looks at the crumbling marriage between a self-centered novelist – whose career is waning – and his up-and-coming writer wife.,"Comedies,Dramas,Independent Movies","Jeff Daniels,Laura Linney,Jesse Eisenberg,Owen Kline,William Baldwin,Halley Feiffer,Anna Paquin,Ken Leung,David Benger,Adam Rose",Noah Baumbach,United States,https://www.imdb.com/title/tt0367089/?ref_=plg_rt_1,"Added to Netflix:October 1, 2019"
