,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
1023,Paap-O-Meter,tvshow,2017,TV-Y,1 Season,"A trio of sky-dwelling ghosts must travel to Earth to teach sinning humans a lesson, but they somehow manage to botch each well-intentioned mission.","Kids' TV,TV Comedies",,,,,"Added to Netflix:November 20, 2018"
1024,Pablo,tvshow,2017,TV-Y,1 Season,"Equipped with crayons and his creativity, a boy with autism draws an imaginary world where his animal pals help him tackle real-life situations.","British TV Shows,Kids' TV","Jake Williamson,Rachael Dickson,Sumita Majumdar,Michael White,Tony Finnegan,Scott Mulligan,Rosie King",,United Kingdom,https://www.imdb.com/title/tt8016478/?ref_=plg_rt_1,"Added to Netflix:March 30, 2019"
1025,"Pablo Escobar, el patrón del mal",tvshow,2012,TV-MA,1 Season,"From his days as a petty thief to becoming head of a drug-trafficking empire, this riveting series charts the life of the infamous Pablo Escobar.","Crime TV Shows,International TV Shows,Spanish-Language TV Shows","Andrés Parra,Angie Cepeda,Cecilia Navia,Vicky Hernández,Christian Tappán,Rodolfo Silva,Tommy Vasquez,Toto Vega,Nicolás Montero,Marcela Gallego",,Colombia,https://www.imdb.com/title/tt2187850/?ref_=plg_rt_1,"Added to Netflix:June 1, 2017"
1026,Pac-Man and the Ghostly Adventures,tvshow,2014,TV-Y7,2 Seasons,Teenage Pac and his loyal crew face the ups and downs of adolescence while protecting Pac-World from a ghostly army led by the evil Betrayus.,"Kids' TV,TV Comedies","Erin Mathews,Sam Vincent,Andrea Libman,Ashleigh Ball,Ian James Corlett,Brian Drummond,Lee Tockar,Matt Hill",,"United States,Japan,Canada",https://www.imdb.com/title/tt2392179/?ref_=plg_rt_1,"New Season Added:June 20, 2017"
1027,Pacific Heat,tvshow,2016,TV-14,1 Season,"In this animated satire, a covert squad of operatives short on smarts but long on confidence tackles crime on the glitzy Gold Coast of Australia.","Crime TV Shows,TV Comedies","Rob Sitch,Santo Cilauro,Tom Gleisner,Rebecca Massey,Lucia Mastrantone",,Australia,https://www.imdb.com/title/tt6283542/?ref_=plg_rt_1,"Added to Netflix:December 2, 2016"
1028,Padamu Aku Bersujud,tvshow,2015,TV-14,1 Season,"The son of poor farmers leaves his village to seek his fortune in Kuala Lumpur, where he meets a young woman who's also trying to better her life.","International TV Shows,Romantic TV Shows,TV Dramas","Syazwan Zulkifli,Sqikin Kamal,Leez Rosli,Bil Azali,Shenthy Feliziana,Jasmine Suraya,Aleza Shadan,Nina Iskandar",,,,"Added to Netflix:December 1, 2017"
1029,Pajanimals,tvshow,2011,TV-Y,1 Season,"From the comfort of their bedroom, the Pajanimals puppets explore a larger world through imaginary adventures, accompanied by friendships and songs.",Kids' TV,"John Kennedy,Victor Yerrid,Donna Kimball,Alice Dinnean,Paul Currie,Michael Winsor,Josh Elwell,Sarah Lyle",,United States,https://www.imdb.com/title/tt1419888/?ref_=plg_rt_1,"Added to Netflix:March 31, 2020"
1030,Palazuelos mi rey,tvshow,2019,TV-14,1 Season,"This reality series follows entrepreneur and soap opera star Roberto Palazuelos as he builds his hotel empire and juggles riches, women and drama.","International TV Shows,Reality TV,Spanish-Language TV Shows",Roberto Palazuelos,,,,"Added to Netflix:February 13, 2020"
1031,Paprika,tvshow,2018,TV-Y,1 Season,Stan and Olivia – the amazingly different Paprika twins – use their boundless enthusiasm to turn everyday life into an extraordinary adventure.,Kids' TV,"Kaycie Chase,David Gasman,Tom Morton,Lee Delong,Barbara Weber-Scaff",,,,"Added to Netflix:January 31, 2019"
1032,Paquita Salas,tvshow,2018,TV-MA,3 Seasons,"One of Spain's best talent agents in the '90s, Paquita now finds herself searching desperately for new stars after suddenly losing her biggest client.","International TV Shows,Spanish-Language TV Shows,TV Comedies","Brays Efe,Belén Cuesta,Lidia San José,Álex de Lucas,Mariona Terés",,Spain,https://www.imdb.com/title/tt5866074/?ref_=plg_rt_1,"New Season Added:June 28, 2019"
1033,Paranoid,tvshow,2016,TV-14,1 Season,"When a woman is brutally murdered on a playground, a group of detectives find themselves drawn into a dark conspiracy as they search for the killer.","British TV Shows,Crime TV Shows,International TV Shows","Indira Varma,Robert Glenister,Dino Fetscher,Neil Stuke,Christiane Paul,Lesley Sharp,Kevin Doyle",,United Kingdom,https://www.imdb.com/title/tt5839454/?ref_=plg_rt_1,"Added to Netflix:November 17, 2016"
1034,Paranormal Survivor,tvshow,2016,TV-MA,2 Seasons,"In interviews and reenactments, ordinary people relive their terrifying encounters with unwelcome guests from beyond the world of the living.",Docuseries,,,Canada,https://www.imdb.com/title/tt4355188/?ref_=plg_rt_1,"New Season Added:August 4, 2017"
1035,Parasyte: The Maxim,tvshow,2014,TV-MA,1 Season,"A teenager battles an onslaught of parasites from space with help from Migi, a docile parasitic creature that's taken over his right hand.","Anime Series,International TV Shows,TV Horror","Nobunaga Shimazaki,Aya Hirano,Kana Hanazawa,Kiyono Yasuno,Rena Maeda,Miyuki Sawashiro,Hiroyuki Yoshino,Atsuko Tanaka",,Japan,https://www.imdb.com/title/tt3358020/?ref_=plg_rt_1,"Added to Netflix:May 15, 2020"
1036,Parks and Recreation,tvshow,2015,TV-14,7 Seasons,"In this Emmy-nominated comedy, an employee with a rural Parks and Recreation department is full of energy and ideas but bogged down by bureaucracy.",TV Comedies,"Amy Poehler,Rashida Jones,Aziz Ansari,Nick Offerman,Aubrey Plaza,Chris Pratt,Jim O'Heir,Retta,Adam Scott,Rob Lowe,Paul Schneider",,United States,https://www.imdb.com/title/tt1266020/?ref_=plg_rt_1,"New Season Added:January 13, 2016"
1037,Part-Time Idol,tvshow,2017,TV-14,1 Season,"After taking a break from the business, a music producer returns with a new project in mind: launching a co-ed pop idol group.","International TV Shows,Korean TV Shows,TV Comedies","Hee-jeong Kim,Seung-un Hwang,Soo-hyun Lee,Hyun-bin Kwon,Young-deuk Kwon,Kim Min-kyo",,,,"Added to Netflix:December 25, 2017"
1038,Paul Hollywood's Big Continental Road Trip,tvshow,2017,TV-14,1 Season,"Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany.","British TV Shows,Docuseries,International TV Shows",Paul Hollywood,,United Kingdom,https://www.imdb.com/title/tt7936386/?ref_=plg_rt_1,"Added to Netflix:September 29, 2017"
1039,Pawn Stars,tvshow,2010,TV-14,1 Season,"Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas.",Reality TV,"Corey Harrison,Richard Harrison,Rick Harrison,Austin ""Chumlee"" Russell",,United States,https://www.imdb.com/title/tt1492088/?ref_=plg_rt_1,"Added to Netflix:September 15, 2019"
