,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
467,Ratatouille,movie,2007,G,111 min,"From the creators of Cars and The Incredibles comes a breakthrough comedy that lets you experience Paris from an all-new perspective. In one of Paris’ finest restaurants, Remy, a determined young rat, dreams of becoming a renowned French chef. Torn between his family’s wishes and his true calling, Remy and his pal Linguini set in motion a hilarious chain of events that turns the City of Lights upside down.","Animation,Comedy,Family","Patton Oswalt,Ian Holm,Lou Romano,Brian Dennehy,Peter Sohn,Peter O'Toole",Brad Bird,United States,https://www.imdb.com/title/tt0382932/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
468,Read It and Weep,movie,2006,TV-G,85 min,"When her journal is accidentally published and becomes an overnight success, Jamie cannot help but get caught up in her newfound celebrity status. Between book signings, interviews and her new boyfriend, Jamie struggles to find a balance between her old life and her new one. She doesn’t want to lose her friends or change who she is, but she can't escape ""IS,"" the star of her novel – and her alter ego – who is pushing her to embrace her life as a celebrity.","Comedy,Coming of Age,Drama","Kay Panabaker,Jason Dolley,Robin Riker,Tom Virtue,Alexandra Krosney,Danielle Panabaker",Paul Hoen,United States,https://www.imdb.com/title/tt0494716/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
469,Ready to Run,movie,2000,TV-G,89 min,"Although her father died in a racing-related accident, Corrie Ortiz dreams of becoming a jockey in the predominantly male sport of thoroughbred horse racing. Despite her mother’s misgivings, Corrie uses a gift her grandmother calls the ""confidence of horses"" to help her horse, Thunderjam, overcome his fears, then guides him all the way to the California Derby.","Animals & Nature,Coming of Age,Family","Krissy Perez,Jason Dohring,Lillian Hurst,Jon Brazier,Nestor Serrano,Theresa Saldana",Duwayne Dunham,"United States,New Zealand",https://www.imdb.com/title/tt0253550/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
470,Recess: All Growed Down,movie,2003,G,61 min,"T.J. and The Recess Gang are kidnapped by the Third Street School's kindergartners, who are in turn being bullied by a new kid in their class. T.J., Gretchen and Mikey try to remind the kindergartners that they're all friends by retelling different adventures they've all had together. But it's only when Gus tells the kindergartners about the time T.J. and company were toddlers that the current kindergartners overcome their fear of the new kid and depose him as their leader.","Animation,Comedy,Family","Rickey Collins,Jason Davis,Ashley Johnson,Myles Jeffrey,Andrew Lawrence,Ross Malinger","Howy Parkins,Chuck Sheetz",United States,https://www.imdb.com/title/tt0382936/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
471,Recess: School's Out,movie,2001,G,87 min,"The school year is finally ending, and T.J. Detweiler is looking forward to summer. But boredom quickly sets in when his friends leave for camp – until T.J. uncovers an evil plot to do away with summer vacation. A crazy former principal, Dr. Benedict, is planning to use a laser beam to alter the weather and create permanent winter. Faced with the dire threat of year-round school, T.J. rounds up The Recess Gang and bands together with some unexpected allies- – Miss Finster and Principal Prickly – in a nonstop adventure to save everyone's summer break.","Animation,Comedy,Family","Rickey Collins,Jason Davis,Ashely Johnson,Andy Lawrence,Courtland Mead,Pam Segall",Chuck Sheetz,"United States,Japan",https://www.imdb.com/title/tt0265632/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
472,Recess: Taking the 5th Grade,movie,2003,G,63 min,"It's an all-new school year for the kids... and the gang hits the fifth grade running. But they're stopped in their tracks when they discover some unwelcome changes: no pizza, no playground, no lockers! And to make things worse, their teacher turns out to be the cantankerous Miss Finster. It's all too much for T.J., who is determined to find a way to stand up for what the gang believes in and improve the school they love. The fifth grade brings out the best in everyone, even Miss Finster and Principal Prickly.","Animation,Comedy,Family","Rickey Collins,Jason Davis,Myles Jeffrey,Ashley Johnson,Courtland Mead,Pamela Adlon",Howy Parkins,United States,https://www.imdb.com/title/tt0382937/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
473,Red Tails,movie,2012,PG-13,126 min,"A breathtaking tribute to the unsung heroes who rose above extraordinary challenges and ultimately soared into history. Italy, 1944: As the war takes its toll on Allied forces in Europe, a squadron of black pilots known as the Tuskegee Airmen are finally given the chance to prove themselves in the sky…even as they battle discrimination on the ground.","Action-Adventure,Drama,Historical","Terrence Howard,Cuba Gooding Jr.,Nate Parker,David Oyelowo,Tristan Wilds,Ne-Yo ",Anthony Hemingway,United States,https://www.imdb.com/title/tt0485985/?ref_=plg_rt_1,"Added to Disney+:January 1, 2020"
474,Red's Dream,movie,1987,TV-G,4 min,"Life as the sole sale item in the clearance corner of Eben's Bikes can get lonely. So Red, a unicycle, dreams up a clown owner and his own juggling act that steals the show. But all too soon, the applause turns into the sound of rainfall, as reality rushes back. Red must resign himself to sitting in the corner and await his fate.","Animation,Drama,Family",,John Lasseter,United States,https://www.imdb.com/title/tt0093832/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
475,Remember the Titans,movie,2000,PG,114 min,"Based on real events, this remarkable story celebrates how a town torn apart by friction and mistrust comes together in triumphant harmony. After leading his team to fifteen winning seasons, beloved football coach Bill Yoast (Will Patton) is demoted and replaced by tough, opinionated Herman Boone (Denzel Washington). How these two men overcome their differences and turn a group of hostile young men into champions is a remarkable portrait of courage and perseverance.","Drama,Historical,Sports","Denzel Washington,Will Patton,Donald Faison,Wood Harris,Ryan Hurst,Ethan Suplee",Boaz Yakin,United States,https://www.imdb.com/title/tt0210945/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
476,Rescue Dog,movie,1947,TV-G,7 min,"Rescue dog Pluto sets about to begin his daily patrol when he comes across a seal pup. The seal, wanting to play, steals Pluto's emergency keg, and when Pluto gives chase it is he that ends up needing rescued. This program is presented as originally created. It may contain outdated cultural depictions.","Animation,Comedy,Family",,Charles Nichols,,,"Added to Disney+:November 12, 2019"
477,Return from Witch Mountain,movie,1978,G,94 min,Automobiles mysteriously fly and humans float in thin air as sinister masterminds Christopher Lee and Bette Davis unleash a diabolical plan. The entire city of Los Angeles teeters on the brink of nuclear disaster when the greedy criminals manipulate a young boy's supernatural powers for their own devious gain. But the youth's sister and a streetwise band of truants join forces in a desperate attempt to save the city from destruction.,"Action-Adventure,Family,Science Fiction","Bette Davis,Christopher Lee,Kim Richards,Ike Eisenmann,Jack Soo,Anthony James",John Hough,United States,https://www.imdb.com/title/tt0078158/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
478,Return to Halloweentown,movie,2006,TV-PG,89 min,"By now, everyone knows Marnie Piper (Sara Paxton) is a witch, so it comes as no surprise when she wins a full scholarship to prestigious Witch University in Halloweentown. Excited about learning alchemy and amulets, potions and portents, Marnie travels through the portal to become Witch U's most famous coed. But everything is not what it seems. There's a new school rule: No magic allowed! Marnie also learns about an ancient prophecy... and it turns out she holds the key to revealing the ultimate secret. With the help of old friends Ethan (Lucas Grabeel) and Benny the Skeleton, and new friends Professor Periwinkle and Aneesa the Genie, will Marnie make the right choices in time for Halloweentown's 1,000-Year Anniversary Celebration?","Family,Fantasy","Sara Paxton,Judith Hoag,Lucas Grabeel,J. Zimmerman,Kristy Wu,Keone Young",David Jackson,United States,https://www.imdb.com/title/tt0816520/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
479,Return to Oz,movie,1985,PG,110 min,"Dorothy finds herself back in the land of her dreams in this second thrilling adventure based on L. Frank Baum's ""Oz"" books. When she finds her old friends have been turned to stone, new friends Tik Tok, Jack Pumpkinhead and the Gump help her battle dangerous new enemies, including the creepy Wheelers, the head-hunting Princess Mombi and the evil Nome King. Can Dorothy save her old friends and restore the Emerald City? Contains tobacco depictions.","Action-Adventure,Family,Fantasy","Nicol Williamson,Jean Marsh,Piper Laurie,Matt Clark,Fairuza Balk,Michael Sundin",Walter Murch,"United Kingdom,United States",https://www.imdb.com/title/tt0089908/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
480,Richie Rich's Christmas Wish,movie,1998,G,85 min,"After Richie Rich is blamed for a sleigh crash caused by his mischievous cousin, Reggie Van Dough, Richie wishes that he didn't exist. When a wishing machine invented by Professor Keenbean hears Richie's wish, it transports him to an alternate universe where Reggie is the master of the house. As Richie struggles to return home in time to celebrate Christmas, he learns to appreciate his privileged former life.","Action-Adventure,Comedy,Family","David Gallagher,Eugene Levy,Keene Curtis,Jake Richardson,Martin Mull,Lesley Warren",John Murlowski,United States,https://www.imdb.com/title/tt0155110/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
481,Right on Track,movie,2003,TV-G,88 min,"When Erica Enders enters the male-dominated world of junior drag racing at the age of 8, she quickly becomes a force to be reckoned with on the drag strip. Once Erica's sister Courtney follows in her footsteps, it isn’t long before ""Enders"" is a household name in the kids' drag racing world. But life on the tracks isn’t without challenges as the sisters face fierce competitors who’d rather not have girls winning in their sport.","Buddy,Family,Sports","Beverley Mitchell,Brie Larson,Marcus Toji,Jodi Russell,Jon Lindstrom,Ruby O'Neil",Duwayne Dunham,United States,https://www.imdb.com/title/tt0323810/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
482,Riley’s First Date?,movie,2015,G,8 min,"Riley, now 12, is hanging out at home with her parents in San Francisco when potential trouble comes knocking: a boy shows up at the door. Can Mom and Dad's emotions handle Riley's first date?","Animation,Comedy,Coming of Age","Lori Alan,Carlos Alazraqui,Lewis Black,Josh Cooley,Ben Cox,Kaitlyn Dias",Josh Cooley,,,"Added to Disney+:November 12, 2019"
483,Rip Girls,movie,2000,TV-G,87 min,"Back to her homeland of Hawaii for the first time since she was a young child, 13-year-old Sydney Miller learns she has inherited a large portion of land. But with the terms of the testament, Sydney is required to stay on the island for two weeks, despite her quick decision to sell to a major developer. After discovering her love for surfing and getting to know her family, Sydney questions her initial decision and discovers a deeper appreciation for the land she has inherited.","Coming of Age,Drama","Camilla Belle,Dwier Brown,Stacie Hess,Brian Stark,Jeanne Mori,Lauren Sinclair",Joyce Chopra,"Australia,United States",https://www.imdb.com/title/tt0244764/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
484,Robin Hood,movie,1973,G,85 min,"A long time ago, in a faraway land, legend tells an extraordinary tale of courage and friendship. Get ready for swashbuckling adventure, unforgettable characters, memorable music, and lots of laughs in Disney's Robin Hood. Heroic Robin Hood – along with his trusted companion Little John and his devoted band of merry men – conjures up one famously funny and daring deed after another to outfox greedy Prince John and bring happiness to the residents of Sherwood Forest.","Action-Adventure,Animation,Family","Roger Miller,Peter Ustinov,Terry-Thomas ,Brian Bedford,Monica Evans,Phil Harris",Wolfgang Reitherman,United States,https://www.imdb.com/title/tt0070608/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
485,Rogue One: A Star Wars Story,movie,2016,PG-13,134 min,"From Lucasfilm comes the first of the Star Wars stand-alone films – Rogue One: A Star Wars Story. In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire’s ultimate weapon of destruction. This key event in the Star Wars timeline brings together ordinary people who choose to do extraordinary things, and in doing so, become part of something greater than themselves. Some flashing lights sequences or patterns may affect photosensitive viewers.","Action-Adventure,Science Fiction","Felicity Jones,Diego Luna,Ben Mendelsohn,Donnie Yen,Mads Mikkelsen,Alan Tudyk",Gareth Edwards,United States,https://www.imdb.com/title/tt3748528/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
486,Roller Coaster Rabbit,movie,1990,TV-Y7,8 min,"Mother takes Baby Herman to the State Fair, and leaves him with Roger Rabbit so she can visit the psychic (fortune-teller).","Action-Adventure,Animation,Comedy","Charles Fleischer,Kathleen Turner,April Winchell,Lou Hirsch,Corey Burton,Frank Welker","Frank Marshall,Rob Minkoff",United States,https://www.imdb.com/title/tt0100510/?ref_=plg_rt_1,"Added to Disney+:June 19, 2020"
487,Rookie of the Year,movie,1993,PG,104 min,"He may be just a clumsy kid, but when the cast is removed from his broken arm, 12-year-old Henry Rowengartner (Thomas Ian Nicholas) can hurl a baseball at the speed of 100 miles an hour! Not only that, but the Chicago Cubs have learned about Henry’s ability, and they want him to help pull their team up from last place. With help from an aging pitching ace (Gary Busey), Henry just might do it!","Comedy,Family,Sports","Thomas Nicholas,Gary Busey,Albert Hall,Amy Morton,Dan Hedaya,Eddie Bracken",Daniel Stern,United States,https://www.imdb.com/title/tt0107985/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
488,Roving Mars,movie,2006,G,41 min,"Join the Mars rovers Spirit and Opportunity for an awe-inspiring journey on the surface of the mysterious red planet. Through the eyes of these two intrepid, state-of-the-art rovers, and with NASA scientists and engineers at your side, you'll see Mars in a way no one ever has before, standing on the surface of the planet that's intrigued mankind for eons.","Documentary,Family","Paul Newman,Steve Squyres,Rob Manning,Dr. Elachi,Wayne Lee",George Butler,United States,https://www.imdb.com/title/tt0436595/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
489,Ruby Bridges,movie,1998,TV-PG,90 min,"When bright six-year-old Ruby is chosen to be the first African-American to integrate her local New Orleans elementary school, she is subjected to the true ugliness of racism for the very first time. But guided by the love of her mother and father, Ruby’s heroic struggle for a better education becomes a lesson for us all.","Biographical,Drama,Historical","Penelope Miller,Kevin Pollak,Michael Beach,Jean Kelly,Peter James,Patrika Darbo",Euzhan Palcy,United States,https://www.imdb.com/title/tt0138068/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
