,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
126,Love & Vets,tvshow,2017,TV-PG,1 Season,"There’s a little slice of small town charm all wrapped up in the quaint neighborhood animal hospital run by husband-and-wife veterinarians Dr. Will Draper and Dr. Fran Tyler. With days beginning as early as 5 a.m., it’s a mad dash to get lunches made and the kids dropped off, all before opening the doors of their bustling hospital.","Animals & Nature,Docuseries,Family",Mallory Kasdan,,,,"Added to Disney+:May 1, 2020"
127,Marvel Comics Spider-Man Aka New Spider-Man,tvshow,1995,TV-Y7,1 Season,"After being bitten by a radioactive spider, young Peter Parker finds that he now has spider-like super powers. Hoping to use his new-found abiilties for wealth and fame, he lets his ego blind him to the needs of others, and indirectly causes the death of his uncle Ben when he refuses to help a police officer catch a fleeing criminal. Humbled by his failure, he resolves to use his talents for fighting crime, and becomes the superhero Spider-Man. While he fights assorted super-villains, Peter also must balance his personal life, including his girlfriend Mary Jane, his job as a photographer at the Daily Bugle, and as an editor who has convinced himself that Spider-man is a criminal that has to be brought down.","Action-Adventure,Animation,Kids","Christopher Barnes,Edward Asner,Linda Gray,Rodney Saulsberry,Liz Georges,Saratoga Ballantine",,United States,https://www.imdb.com/title/tt0112175/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
128,Marvel Comics The Incredible Hulk,tvshow,1996,TV-Y7,1 Season,"When research scientist Bruce Banner is blasted with a gamma ray bomb during an experiment gone wrong, he develops a dangerous alter ego – a mean, green monster known as the Incredible Hulk – who emerges when he gets angry.","Action-Adventure,Animation,Kids","Neal McDonough,John Vernon,Luke Perry,Lou Ferrigno,Genie Francis",,United States,https://www.imdb.com/title/tt0115215/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
129,Marvel Comics X-Men,tvshow,1992,TV-Y7,5 Seasons,"In the Marvel Comics universe, mutants, people with genetically endowed superpowers, are persecuted by a hateful and fearful populous. One shelter from this is Professor Xavier's Academy for Gifted Children.","Action-Adventure,Animation,Fantasy","Phil Aiken,Brett Halsey,Lawrence Bayne,David Hemblen,Rick Bennett,Dan Hennessey",,"United States,Canada",https://www.imdb.com/title/tt0103584/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
130,Marvel Rising: Initiation (Shorts),tvshow,2017,TV-Y7,1 Season,"While pursuing the criminal responsible for her best friend’s death, Ghost-Spider is mistakenly accused of the crime by both SHIELD and the NYPD. Now on the run, Ghost-Spider must find a way to clear her name, while battling against Ms. Marvel and Squirrel Girl.","Action-Adventure,Animation,Kids",,,United States,https://www.imdb.com/title/tt9073722/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
131,Marvel Super Hero Adventures,tvshow,2017,TV-Y,3 Seasons,Spider-Man reveals some of the lessons he's learned while on action-packed adventures with other Marvel superheroes!,"Action-Adventure,Animation,Kids",,,United States,https://www.imdb.com/title/tt7726152/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
132,Marvel Ultimate Spider-Man,tvshow,2011,TV-Y7,4 Seasons,"Peter Parker became Spider-Man two years ago. He has saved lives and fought supervillians, but he is still in the process of learning how to be a superhero. Nick Fury, Director of SHIELD, offers Peter the chance to train and become “The Ultimate Spider-Man” while working alongside four fellow teenage superheroes. Through this coming of age story, Peter will have to navigate challenging relationships with his mentors and colleagues and emerge with a better understanding of his destiny.","Action-Adventure,Animation,Fantasy","Drake Bell,Chi McBride,Steven Weber,J.K. Simmons,Tom Kenny,Clark Gregg",,United States,https://www.imdb.com/title/tt1722512/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
133,Marvel's Agent Carter,tvshow,2014,TV-14,2 Seasons,"1946, and peace has dealt Agent Carter a blow as she finds herself marginalized when the men return home from abroad. Working for the covert SSR, Peggy finds herself doing administrative work when she would rather be out in the field taking down the bad guys. She is also trying to navigate life as a single woman, in the wake of losing the love of her life, Captain America. When old acquaintance Howard Stark finds himself framed for unleashing his deadliest weapons he contacts Peggy to track down those responsible and clear his name.","Action-Adventure,Science Fiction,Spy/Espionage","Hayley Atwell,James D'Arcy,Chad Murray,Enver Gjokaj,Shea Whigham",,United States,https://www.imdb.com/title/tt3475734/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
134,Marvel's Ant-Man (Shorts),tvshow,2016,TV-Y7,1 Season,"Follow Scott Lang’s adventures as Ant-Man, dealing with everything from super villains to miniature alien invasions (and occasionally helping Cassie with her homework). Along with The Wasp and Hank Pym, Ant-Man protects the world one inch at a time.","Action-Adventure,Animation,Comedy",,,United States,https://www.imdb.com/title/tt7249258/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
135,Marvel's Avengers Assemble,tvshow,2012,TV-Y7,5 Seasons,"Led by Iron Man, Marvel’s mightiest heroes – Hulk, Thor, Captain America, Hawkeye, Falcon and Black Widow – combine their power to battle threats no single hero could withstand. When the Avengers assemble, evil doesn’t stand a chance!","Action-Adventure,Animation,Kids","Adrian Pasdar,Fred Tatasciore,Roger Smith,Travis Willingham,Troy Baker,Bumper Robinson",,United States,https://www.imdb.com/title/tt2455546/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
136,Marvel's Avengers: Secret Wars (Shorts),tvshow,2016,TV-Y7,1 Season,"Tony Stark is trapped in another dimension. The Avengers muster all of their knowledge and strength to find a way to bring him back, but before they can, they are attacked by a new cabal of villains who scatter our heroes across space and time. With the help of a new team of heroes, the Avengers must reunite in time to not only save earth, but all of reality.","Action-Adventure,Animation,Kids",,,,,"Added to Disney+:November 12, 2019"
137,Marvel's Future Avengers,tvshow,2016,TV-Y7,2 Seasons,"The Avengers rescue a trio of children (Makoto, Adi, and Chloe) who were granted superhuman powers from a nefarious experiment by the evil organization, Hydra. The superhero team decides to take the youngsters under their wing, training them to be a new generation of heroes while foiling the schemes of villains.","Action-Adventure,Animation,Anime","英司 花輪,一博 中谷,康之 加瀬,健一郎 松田,かおり 水橋",,,https://www.imdb.com/title/tt6591446/?ref_=plg_rt_1,"Added to Disney+:February 28, 2020"
138,Marvel's Guardians of the Galaxy (Series),tvshow,2015,TV-Y7,3 Seasons,"The newly-formed Guardians of the Galaxy find a mystical treasure map to a powerful weapon known as the Cosmic Seed. Our heroes must find, protect, and ultimately destroy it to keep it from those who would abuse its power, from galactic big boss Thanos, to a resurrected Ronan, to the ultimate trickster, Loki. Along the way, they’ll visit planets both old and new, where they’ll uncover secrets from each of their pasts. Their quest will eventually bring them back to Earth, but with them will come the most deadly forces in the universe!","Action-Adventure,Animation,Kids","Will Friedle,Trevor Devall,Kevin Richardson,Vanessa Marshall,David Sobolov",,United States,https://www.imdb.com/title/tt4176370/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
139,Marvel's Guardians of the Galaxy (Shorts),tvshow,2014,TV-Y7,2 Seasons,"Before they became the Guardians of the Galaxy, five outlaws made their way through the universe … and got into plenty of trouble along the way. These ten 2-minute shorts tell turning-point stories from the checkered pasts of Star-Lord, Groot, Rocket, Drax and Gamora.","Action-Adventure,Animation,Kids",,,,,"Added to Disney+:November 12, 2019"
140,Marvel's Hero Project,tvshow,2019,TV-PG,1 Season,"In life, it doesn’t take wearing a suit of iron, carrying a mythical hammer or swinging from spider webs to be a real hero. Sometimes the person who can make a positive difference in the world is the person who simply sees a problem and has the passion to find a creative solution. Marvel’s Hero Project is an unscripted series that shares the positive impact several young, real life heroes are making in their own communities across the country. These extraordinary, inspiring kids have dedicated their lives to a variety of remarkable efforts, and now Marvel celebrates them as the true Super Heroes they are, each immortalized in their very own comic book. These kids don’t know it yet, but they are about to be initiated into an elite group of extraordinary kids, as they join Marvel’s Hero Project.","Docuseries,Family",,,United States,https://www.imdb.com/title/tt10163846/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
141,Marvel's Inhumans,tvshow,2017,TV-14,1 Season,"After the Royal Family of Inhumans is splintered by a military coup, they barely escape to Hawaii where they are greeted with surprising interactions with the lush world and humanity around them. Now they must find a way to reunite with each other and return to their home before their way of life is destroyed forever.","Action-Adventure,Science Fiction,Superhero","Anson Mount,Serinda Swan,Ken Leung,Eme Ikwuakor,Isabelle Cornish,Ellen Woglom",,United States,https://www.imdb.com/title/tt4154858/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
142,Marvel's Rocket & Groot (Shorts),tvshow,2016,TV-Y7,1 Season,"Before joining the Guardians of the Galaxy, Rocket and Groot were just your average, everyday bounty hunters. When the duo’s trusty ol’ ship breaks down, they are forced to shop for the most expensive ship credits can buy!","Action-Adventure,Animation,Buddy",,,,https://www.imdb.com/title/tt6603254/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
143,Marvel's Runaways,tvshow,2017,TV-14,3 Seasons,"Every teenager thinks their parents are evil. But what if they really were? When six L.A. teens stumble onto a terrible secret, they realize their parents have been lying to them all their lives. But what are their parents after? And why? While the kids investigate, the adults start to wonder if their kids are hiding secrets of their own. The parents close in on the truth just as the kids uncover a plan with devastating consequences. Now, this unlikely crew of teenagers must band together to stop their parents before it’s too late.","Coming of Age,Drama,Science Fiction","Rhenzy Feliz,Lyrica Okano,Virginia Gardner,Ariela Barer,Gregg Sulkin,Allegra Acosta",,United States,https://www.imdb.com/title/tt1236246/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
144,Marvel's Spider-Man (Series) (2017),tvshow,2016,TV-Y7,2 Seasons,"Peter Parker struggles with the duality of his social life at school and hiding his secret identity of Spider-Man from everyone including his best friend, Harry Osborn.","Action-Adventure,Animation,Kids","Robbie Daymond,Max Mittelman,Nancy Linari,Patton Oswalt,Fred Tatasciore",,United States,https://www.imdb.com/title/tt6135682/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
145,Marvel's Spider-Man (Shorts),tvshow,2016,TV-Y7,1 Season,"After being bitten by a radioactive spider, Peter uses the five steps of scientific method to diagnose what has happened to him.","Action-Adventure,Animation,Kids",,,,,"Added to Disney+:November 12, 2019"
146,Marvel's Ultimate Comics,tvshow,2016,TV-Y7,1 Season,"After Spider-Man stops some crooks from robbing a Stark Enterprises facility, Iron Man decides to pay him back with some on the job training. His plan goes awry when D-List villain Batroc the Leaper returns with new powers. Black Panther gets a visit from Everett K. Ross to discuss security for a possible international summit in Wakanda. The visit is unexpectedly interrupted by super-villain, Ghost.","Action-Adventure,Animation,Comedy","Cole Howard,Brian Drummond",,,,"Added to Disney+:November 12, 2019"
147,Mickey Mouse (Shorts),tvshow,2012,TV-G,5 Seasons,"With the slapstick feel of classic Mickey Mouse, the series of cartoon shorts presents Mickey in a broad range of humorous situations that showcase his pluck and rascality, along with his long-beloved charm and good heartedness. Each cartoon short finds Mickey in a different contemporary setting including Santa Monica, New York, Paris, Beijing, Tokyo, Venice and the Alps, facing a silly situation, a quick complication and an escalation of physical and visual gags. The stories also feature genuine heartfelt and heroic moments as Mickey explores and experiences life with his comical partners: Minnie Mouse, Donald Duck, Daisy Duck, Goofy, and Pluto.","Animation,Kids",,,United States,https://www.imdb.com/title/tt2768802/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
148,Mickey Mouse Club (1955-59),tvshow,1955,TV-PG,1 Season,"The Mickey Mouse Club is a classic variety show from the 1950s. The children's program features the famous Mouseketeers, led by Jimmie and Roy, who entertain with song and dance numbers. The show also highlights educational newsreels about children around the world, as well as animated cartoons, often with Mickey Mouse himself. This program is presented as originally created. It may contain outdated cultural depictions.","Family,Variety",,,United States,https://www.imdb.com/title/tt0047757/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
149,Mickey Mouse Roadster Racers,tvshow,2016,TV-Y7,2 Seasons,"Hot rod diggity dog! The Sensational Six are on the move! Mickey, Donald, Goofy, Minnie and Daisy run a garage in Hot Dog Hills as they get ready to compete with their transforming roadsters in races around town and around the world! And when they aren't on the road, Daisy and Minnie run The Happy Helpers, their own business of lending a helping hand to folks around town. Get ready, get set to GO on all new adventures with Mickey and his friends!","Animation,Kids,Sports","Bret Iwan,Russi Taylor,Bill Farmer,Daniel Ross",,United States,https://www.imdb.com/title/tt6264782/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
150,Mighty Med,tvshow,2013,TV-Y7,2 Seasons,"Check in to Mighty Med with Oliver and Kaz. Their dream jobs at the secret hospital for superheroes continue with more action-packed adventures. Evil Skylar plots to take over Mighty Med, Oliver and Kaz are determined to visit the Annihilator’s lair, and Secret Agent Blaylock returns to solve the problem of a possible hospital mole. To save the world, the boys travel to Skylar’s home planet, Caldera, in search of the legendary Hapax the Elder. In this hospital, heroes get healthy, but the fight against evil is still totally sick.","Comedy,Coming of Age,Medical","Bradley Perry,Jake Short,Paris Berelc,Devan Leos",,United States,https://www.imdb.com/title/tt2573338/?ref_=plg_rt_1,"Added to Disney+:June 12, 2020"
151,Miles From Tomorrowland,tvshow,2014,TV-Y,3 Seasons,"Blastastic! Join Miles and his intergalactic family as they venture out into outer space! Whether he is discovering alien lifeforms, racing across the stars, or exploring new planets Miles always has his family to explore the galaxy with! Join the Callisto family as they help connect the galaxy on behalf of the Tomorrowland Transit Authority. Your wildest imagination is just the beginning in Tomorrowland!","Action-Adventure,Animation,Kids","Olivia Munn,Cullen McCarthy,Fiona Bishop,Dee Baker,Tom Kenny",,United States,https://www.imdb.com/title/tt3098856/?ref_=plg_rt_1,"Added to Disney+:December 1, 2019"
152,MUPPET BABIES,tvshow,2017,TV-Y,1 Season,"The Muppet Babies are here to make dreams come true! Join Kermit, Piggy, Fozzie, Animal, Gonzo and Summer as they use their imagination for all kinds of playroom adventures!","Animation,Kids","Matt Danner,Melanie Harrison,Ben Diskin,Eric Bauza,Dee Baker,Jessica DiCicco",,"South Korea,United States,China,Japan",https://www.imdb.com/title/tt6337766/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
153,Muppet Babies Show and Tell (Shorts),tvshow,2017,TV-Y7,1 Season,"Pull up a chair and join Miss Nanny as Kermit, Piggy, Fozzie, Animal, Gonzo and Summer take her around the playroom and beyond for an amazing Show and Tell! If you Start Up Your Imagination, you can do anything, just like the Muppet Babies!","Animation,Kids","Matt Danner,Melanie Harrison,Ben Diskin,Eric Bauza,Dee Baker,Jessica DiCicco",,,,"Added to Disney+:January 15, 2020"
154,Muppet Moments (Shorts),tvshow,2014,TV-Y7,1 Season,"Join your pals the Muppets as they share unforgettable moments with kids just like you! From Kermit beatboxing to Miss Piggy learning to count, each Muppet moment is one to remember.","Anthology,Comedy,Kids",,,United States,https://www.imdb.com/title/tt4555736/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
155,My Friends Tigger & Pooh,tvshow,2006,TV-Y,2 Seasons,"Pooh, Tigger, and friends from the Hundred Acre Wood welcome new neighbors: an adorable six-year-old girl named Darby and her puppy, Buster. With the help of adventurous super sleuths Tigger and Pooh, viewers help solve the mystery!","Animation,Kids",Jim Cummings,,United States,https://www.imdb.com/title/tt0805905/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
156,One Day at Disney (Shorts),tvshow,2019,TV-PG,1 Season,"One Day At Disney is a documentary series highlighting the diverse group of people behind some of Disney’s most magical stories. From the heart of the Disney Parks to the streets of Madrid, travel to locations both near and far to meet the men and women who spend each day bringing magic to life in unique and exciting ways. Whether they're animating beloved characters, driving the Main Street Trolley or discovering the next Disney Channel star, every episode is an in-depth look into the lives of the cast members dedicated to continually creating memorable and heartwarming moments for people around the world.","Anthology,Docuseries,Family",,,,,"Added to Disney+:December 6, 2019"
