,title,genres,year,originals,everything
172,Bernard,"animation,children,comedy,family",2004,0,"Bernard is a series of animated shorts centered on the fictional polar bear and main character of the same name. It is a Korean-Spanish-French co-production. Each three-minute episode focuses on the bear's curiosity and have many moments of slapstick. Bernard never speaks with the exception of unintelligible noises.Bernard is accompanied in the cartoons by a few other characters: Lloyd and Eva the penguins, Zack the lizard, Goliat the chihuahua, Sam the baby, Pilot the dog, Pokey the porcupine and Santa Claus.He usually gets knocked unconscious or severely injured at the end of an episode, due to some calamity caused by his bumbling.Produced by the Korean company RG Animation Studios, with the investment of the South Korean broadcaster EBS, the Spanish BRB Internacional and the French M6, the animation style is of a combination of computer-generated and cel animation. The stories are written by the Spanish creative studio Screen21, the directors are José Luis Ucha Enríquez and Claudio Biern Lliviria. The music was written by Oscar Maceda Rodríguez.Bernard has been nominated for a number of awards, including Best Animation series at the Stuttgart Festival of Animated Film, Mipcom Jr. Licensing Challenge Award, Prize in Children and Education at the Dong-A International Festival of Cartoon & Animation and was a finalist at the Annecy International Animation Festival. animation,children,comedy,family"
173,Best Friends Whenever,"comedy,family,science-fiction,fantasy,children",2015,0,"The live-action comedy follows best friends Shelby and Cyd who, when their aspiring scientist friend Barry’s invention goes awry, gain the power to leap forward and backward in time whenever they want – and sometimes when they don’t. Now, they experience the twists and turns of friendship and must decide between fixing mistakes in the past or catching a glimpse of the future. While Barry and his assistant, Naldo, try to figure out how to replicate time travel for themselves, Cyd and Shelby use their newfound power to navigate high school life and Shelby’s mischievous twin brothers, Bret and Chet. comedy,family,science-fiction,fantasy,children"
174,Best.Worst.Weekend.Ever.,comedy,2018,1,"Teenage friends plan an epic trip to Comic-Con to meet their idol, only to get caught in one hilariously awkward predicament after another. comedy"
175,Betaal,"action-and-adventure,horror,thriller",2020,1,"A remote village becomes the arena of a breathless battle when an undead East India Company officer and his battalion of zombie redcoats attack a squad of modern-day soldiers. action-and-adventure,horror,thriller"
176,Better Call Saul,"comedy,crime,drama",2015,0,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"". comedy,crime,drama"
177,Better Than Us,"drama,science-fiction,fantasy",2018,1,"Moscow in a not so distant future where human beings share their daily lives with robots. Georgy, a forensic who has a robot assistant, suddenly finds himself caught up in the first murder committed by a new kind of experimental humanoid. drama,science-fiction,fantasy"
178,Between,"drama,mystery,science-fiction,fantasy",2015,1,"Between is the story of a town under siege from a mysterious disease that has wiped out everybody except those 21 years old and under. The series explores the power vacuum that results when a government has quarantined a 10-mile diameter area and left the inhabitants to fend for themselves. drama,mystery,science-fiction,fantasy"
179,Be with Me,No info,2015,0," They were the boy band to beat until fame tore them apart. Ten years later, five friends and an ex-love No info"
180,Be With You,No info,2015,0,"27-years-old Da Guang works the night shift every other week, and on this particular night, he encounters something out of the norm. While driving to work in the second-hand car he just ... No info"
181,Beyond Stranger Things,No info,2017,1,"Secrets from the ""Stranger Things 2"" universe are revealed as cast and guests discuss the latest episodes with host Jim Rash. No info"
182,Bible's Buried Secrets,"documentary,history",2008,0,"Dr Francesca Stavrakopoulou examines how archaeological discoveries are changing the way people interpret stories from the Bible. documentary,history"
183,Big Bad Beetleborgs,"action-and-adventure,comedy,family,fantasy,science-fiction",1996,0,"Big Bad Beetleborgs is an American television series produced by Saban Entertainment. It aired for two seasons (the second season being named 'Beetleborgs Metallix') on Fox Kids between September 7, 1996 and March 2, 1998. Reruns later aired on UPN Kids from 1998 to 1999. On May 7, 2010, as part of the sale of the Power Rangers franchise, the copyright for Beetleborgs was transferred from BVS International to SCG Power Rangers.The series adapted combat footage from the Metal Hero tokusatsu-series Juukou B-Fighter and B-Fighter Kabuto. action-and-adventure,comedy,family,fantasy,science-fiction"
184,BIG DREAMS Small Spaces,"home-and-garden,reality",2014,0,"Writer and presenter Monty Don helps England's budding horticulturists plant and grow the gardens of their dreams. home-and-garden,reality"
185,Big Mouth,"animation,comedy,romance",No info,1,"Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg. animation,comedy,romance"
186,Bill Nye Saves the World,comedy,2017,1,"Bill Nye explores science and its impact on politics, society and pop culture. Each episode tackles a topic from a scientific point of view, dispelling myths, and refuting anti-scientific claims that may be espoused by politicians, religious leaders or titans of industry. comedy"
187,Billy on the Street,"comedy,stand-up-and-talk,game-show",2011,0,"Comedian Billy Eichner, unfiltered and unapologetic, hits the streets of New York City to test unsuspecting strangers on their knowledge of music and pop culture. With microphone in hand and money in tow, Eichner gives contestants the chance to win cash by answering a series of hilarious and spontaneous questions. The catch? The final round is subjective - Don't agree with Billy? You lose. comedy,stand-up-and-talk,game-show"
188,Bindi's Bootcamp,"game-show,children",2012,0,"Bindi's Bootcamp is an Australian children's game show television series aired on ABC3 on 7 July 2012 until 29 September 2012. It was hosted by Bindi Irwin. game-show,children"
189,Birdie Buddy,"drama,sport,romance",2011,0,"Birdie Buddy is a South Korean television series set in the world of professional golf. Based on the 2007 comic series of the same title by Lee Hyun-sae, it starred Uee, Lee Yong-woo and Lee Da-hee.The drama was pre-produced in 2010, and initially expected to air on MBC in December 2010, but the network decided not to give it a timeslot. After several postponements, it aired on cable channel tvN from August 8 to October 25, 2011 on Mondays and Tuesdays at 23:00. But instead of the original 20 episodes of 70 minutes each, it was re-edited into 24 episodes spanning 45 minutes each. drama,sport,romance"
190,Bitten,"action-and-adventure,drama,fantasy,horror,mystery,science-fiction",2014,0,"Elena Micheals thought she left the world of supernatural behind when she left Stonehaven behind 'for good this time' she thought. Until the night she got the mysterious call from her pack leader asking her to come back. So now she is heading back, leaving her life as a normal photographer in Toronto for the moment to re-enter the world of werewolves, rules about protect the pack and a man she has spent years trying to get out of her system. Oh and did she mention she was the only living female werewolf in existence? action-and-adventure,drama,fantasy,horror,mystery,science-fiction"
191,Bitter Daisies,"drama,thriller,crime,mystery",2019,1,"While investigating the disappearance of a teen girl in a tight-knit Galician town, a Civil Guard officer uncovers secrets linked to a loss of her own. drama,thriller,crime,mystery"
192,Black,"crime,drama,fantasy,romance,thriller,science-fiction",2017,1,"The story of a grim reaper who gets erased from the memories of the world for breaking the rules of heaven and falling in love with a mortal woman after inhabiting a human body. crime,drama,fantasy,romance,thriller,science-fiction"
193,#blackAF,"comedy,family",2020,1,"A father takes an irreverent and honest approach to parenting and relationships. comedy,family"
194,Black Butler,"animation,anime,comedy,action-and-adventure,crime,drama,fantasy,horror,mystery,thriller,science-fiction",2008,0,"In Victorian-era London, on the night of Ciel Phantomhive's tenth birthday a fire destroyed his manor and killed both of his parents. In a moment of death Ceil strikes a deal with a demon, his soul in exchange for revenge. This demon becomes his butler and calls himself by name of Sebastian Michaelis, to protect and serve Ciel until the deal has been completed. One month after the fire Ciel returns from being missing, with his new butler Sebastian. Ceil is now the head of the Phantomhive corporation, handling all business affairs as well as the work as the Queen of England’s guard dog and looking for his parents murders. animation,anime,comedy,action-and-adventure,crime,drama,fantasy,horror,mystery,thriller,science-fiction"
195,Black Crows,"drama,romance",1983,0,"A look at the lives of various members of an ISIS terrorist cell. drama,romance"
196,Black Earth Rising,"drama,crime,thriller",2018,1,"As a child, Kate Ashby was rescued from the horrific aftermath of the Rwandan genocide and brought to the UK. But the tragic shadow of her past proves impossible to escape. drama,crime,thriller"
197,Black Hollywood: 'They've Gotta Have Us',documentary,2018,0,A unique portrait of how art and activism for black people in film are indivisible from race and cinema. documentary
198,Black Lightning,"drama,action-and-adventure,science-fiction,fantasy",2018,0,"Jefferson Pierce is a man wrestling with a secret. As the father of two daughters and principal of a charter high school that also serves as a safe haven for young people in a New Orleans neighborhood overrun by gang violence, he is a hero to his community. drama,action-and-adventure,science-fiction,fantasy"
199,Black Mirror,"drama,science-fiction,fantasy,thriller,mystery",2011,1,"A contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world. Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence. drama,science-fiction,fantasy,thriller,mystery"
200,Black Money Love,"action-and-adventure,crime,drama,mystery,romance",2014,0,"Ömer is a police officer. After the death of his fiancée, he suffers great pain. The body of Sibel, Ömer's fiancée, was found on the top of a cliff, in a car next to a fairly old, rich business man. After the shock of her sudden death and the accusations of his love cheating on him, Ömer realizes that there is more behind her suspicious murder action-and-adventure,crime,drama,mystery,romance"
201,Black Summer,"action-and-adventure,comedy,horror,science-fiction,drama,thriller",2019,1,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones. action-and-adventure,comedy,horror,science-fiction,drama,thriller"
202,Blazing Transfer Students,"action-and-adventure,comedy,sport",2017,1,"Featuring the boys of Johnny's West, a gang of zany transfer students are recruited for a mysterious mission ordained by their shadowy principal. action-and-adventure,comedy,sport"
203,Bleach_2004,"action-and-adventure,anime,animation,fantasy,comedy,drama,horror,science-fiction,thriller",2004,0,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil. action-and-adventure,anime,animation,fantasy,comedy,drama,horror,science-fiction,thriller"
204,Bloodline,"drama,thriller,crime",2015,1,"A dramatic thriller that explores the demons lurking beneath the surface of a contemporary American family. The Rayburns are hard-working pillars of their Florida Keys community. But when the black sheep son comes home for the 45th anniversary of his parents' hotel, he threatens to expose the Rayburns' dark secrets and shameful past, pushing his siblings to the limits of family loyalty. drama,thriller,crime"
205,Bloodride,"horror,comedy",2020,1,"The doomed passengers aboard a spectral bus head toward a gruesome, unknown destination in this deliciously macabre horror anthology series. horror,comedy"
206,Blood & Treasures,"drama,fantasy,history,mystery,romance",2016,0,"Condemned by a centuries-old vow to protect her kingdom's treasures, an embittered spirit returns to seek justice against the man who wronged her. drama,fantasy,history,mystery,romance"
207,Blood & Water,drama,2020,1,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth. drama"
208,Blown Away,"reality,game-show",2019,1,"Ten master artists turn up the heat in glassblowing sculpture challenges for the chance to win $60,000 in prizes and the title of champion. reality,game-show"
209,Blue Exorcist,"animation,anime,drama,fantasy,horror,action-and-adventure,family,comedy,mystery,science-fiction",2011,0,"Humans live in the world of Assiah, demons in Gehenna. The two dimensions are not meant to interfere with each other, but demons still possess creatures in Assiah in spite of this. The humans who can fight these demons are known as exorcists. Rin Okumura is a boy who bears the curse of being Satan's illegitimate son. His foster father sacrificed himself to save him from demons. To avenge his foster father's death as well as to prove himself, Rin decides to follow the path of an exorcist and defeat his own father, Satan. To hone his raw skills, Rin enters True Cross Academy to train with other exorcist candidates. animation,anime,drama,fantasy,horror,action-and-adventure,family,comedy,mystery,science-fiction"
210,Bobby Kennedy for President,documentary,2018,1,"Historic footage and leading voices of the era examine the ""Bobby Phenomenon"" of the 1960s and the legacy of the man who helped redefine the country. documentary"
211,Boca Juniors Confidential,"documentary,reality",No info,1,"Players, fans and staff of soccer powerhouse Boca Juniors provide an exclusive, behind-the-scenes look at Argentina's legendary club. documentary,reality"
212,Bodyguard,"thriller,crime,drama,action-and-adventure",2018,1,"A troubled war veteran is assigned to protect a controversial politician who may be the target of a terror plot. thriller,crime,drama,action-and-adventure"
213,BoJack Horseman,"animation,comedy,drama",2014,1,"Meet the most beloved sitcom horse of the 90s - 20 years later. BoJack Horseman was the star of the hit TV show ""Horsin' Around,"" but today he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters. animation,comedy,drama"
214,Bolívar: Una lucha admirable,"biography,drama,romance",2019,1,"This dramatization depicts the life -- and loves -- of Venezuelan Gen. Simón Bolívar who helped liberate several Latin American countries from Spain. biography,drama,romance"
215,Bonding,"animation,comedy,drama",2019,1,"A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant. animation,comedy,drama"
216,Bondi Rescue,"drama,reality,documentary",2006,0,"Follow the day to day life and work of lifeguards on Sydney's Bondi Beach. drama,reality,documentary"
217,Bonus Family,"comedy,drama",2017,1,"A new couple, their exes and their children navigate the emotional challenges and tricky logistics of blended family life in this Swedish dramedy. comedy,drama"
218,Booba,"animation,comedy,family,children",2014,0,"The world is a mystery to little Booba. But he approaches the curiosities around him with wonder, finding adventure in his everyday surroundings. animation,comedy,family,children"
219,Bo on the Go!,"animation,children",2007,0,"Bo on the Go! is a Canadian TV series, created by Jeff Rosen and produced by Decode Entertainment, a DHX Media Company, in association with Decode Entertainment and Halifaxfilm. The TV series emphasizes the importance of movement for children through a plot element called ""Animoves"", which are animations demonstrating specific body movements that viewers must learn in order to solve problems highlighted in each episode. It is broadcast in Canada on CBC Television in the Kids' CBC programming block. It is broadcast in the United Kingdom on Playhouse Disney and it is also broadcast in the United States on Playhouse Disney and is also broadcast on Disney Junior every weekday at 5:00 a.m. EST and 12:00 a.m. EST. It is currently broadcast on seventeen broadcasters around the world, in over twelve languages, including Spanish, French, Italian, Greek, Arabic, Thai, Finnish, Hebrew, Portuguese, Turkish, and Gaelic. animation,children"
220,Borderline,comedy,2016,0,"Mockumentary based in the border security office of fictional Northend Airport, a small provincial airport which may lack a little in glamour, but still must abide by the same rules as larger international airports comedy"
221,Borderliner,"thriller,drama,crime",2017,1,"To protect his family, police detective Nikolai covers up a murder case. But when his co-investigator Anniken suspects foul play, he is trapped in a dangerous game on duty, blurring the line between right and wrong. thriller,drama,crime"
222,Border Patrol,"documentary,reality",2002,0,"Border Patrol is a New Zealand reality television series, focusing on the Customs, the Ministry of Agriculture and Forestry, and the New Zealand Immigration Service. It is narrated by Tim Balme. They are checking through packages, travelers and goods to find if they try to smugle prohibited or undeclared goods. They have trained staff, dogs and technology to find this out. documentary,reality"
223,Bordertown,"crime,drama,mystery",2016,1,"The series tells the story of DI Kari Sorjonen of the Serious Crime Unit in Lappeenranta, his family, and his investigations into a variety of harrowing homicides around the border area. crime,drama,mystery"
224,Borges Importadora,comedy,2018,0,"Four employees of an import company discover that they were cheated by their former boss with a proposed society. Now with the bankrupt company, it is up to this quartet to solve all the processes and debts of the company. With no money to clear all accounts, they decide to create a video channel for the internet. comedy"
225,Borgia,"action-and-adventure,drama,biography,history",2011,0,"Borgia is a French-German-Czech historical drama television series created by Tom Fontana. The show recounts the Borgia family's rise to power and subsequent domination of the Papal States during the Renaissance.Borgia debuted in Italy via Sky Italia on 10 July 2011, and in North America via Netflix on 2 October 2011. It was since renewed for a second season, which premiered on Canal+ on March 18, 2013. Season 3 is currently in Pre-Production, and will be the end of the series. action-and-adventure,drama,biography,history"
226,Börü,"action-and-adventure,crime,drama,thriller,reality",2018,1,"Turkey in the spring of 2014. A time when the enemies are growing on the border, the circle of danger inside is becoming narrower. The Republic of Turkey faces the greatest threats of recent history. BÖRÜ tells the story of heroic heroes who are touched by love. They are the last castle. action-and-adventure,crime,drama,thriller,reality"
227,Bottersnikes & Gumbles,"animation,action-and-adventure,comedy,family,children",2016,1,"In a far away forgotten valley heaped with long-abandoned junk, a timeless battle rages between good and evil… and also between squishy and scaly, happy and grumpy, clever and wily… handsome and plain old ugly. This is the land of Bottersnikes and Gumbles. animation,action-and-adventure,comedy,family,children"
228,Boys Over Flowers,"comedy,drama,family,romance",2009,0,"A working class girl winds up at an exclusive prep school. Unassuming high school girl Jan Di stands up to -- and eventually falls for -- a spoiled rich kid who belongs to the school's most powerful clique. comedy,drama,family,romance"
229,Brainchild,"reality,documentary,family",2018,1,"From germs and emotions to social media and more, it's the science of your world explained in a way that's refreshingly relatable. reality,documentary,family"
230,Brain Games,"documentary,comedy,drama,game-show",2011,0,"Get ready to have your mind messed with! ""Brain Games"" is a groundbreaking series that uses interactive experiments, misdirection and tricks to demonstrate how our brains create the illusion of seamless reality through our memory, through our sensory perception, and how we focus our attention. documentary,comedy,drama,game-show"
231,Braxton Family Values,"reality,drama,comedy,biography",2011,0,"Like their famous sister Toni Braxton, Traci, Towanda, Trina and Tamar were all blessed with the gift of song and shared that gift as a group called ""The Braxtons,"" managed by their mom Evelyn. Now, after battling debilitating illnesses that left her out of the spotlight, Toni Braxton is now fighting her way back to the top. She enlists the help of her sisters, but the drama they bring proves to be too much at times. reality,drama,comedy,biography"
232,"Breakfast, Lunch & Dinner",documentary,2019,1,"Chef David Chang takes his insatiable curiosity about food, culture and identity on the road, in the convivial company of fun-loving celebrity guests. documentary"
233,Breaking Bad,"crime,drama,thriller",2008,0,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime. crime,drama,thriller"
234,Brews Brothers,comedy,2020,1,"Two rival brothers must work together to keep their brewery in business, but shenanigans keep foaming up their company with chaos. comedy"
235,"Bring It On, Ghost","comedy,fantasy,romance,action-and-adventure,crime,drama,mystery,science-fiction",2016,0,"Hyun-Ji studied for her 19 years before she died in an accident. She is now a ghost and has wandered around the world for several years. Hyun-Ji then meets exorcist Park Bong-Pal. Hyun-Ji and Bong-Pal listens to various stories from ghosts and sends them to the otherworld. comedy,fantasy,romance,action-and-adventure,crime,drama,mystery,science-fiction"
236,Britain's Horror Homes,documentary,2015,0,Britain's Horror Homes is a documentary series which looks at different people whose lives have been ruined after their properties became living nightmares. documentary
237,Broadchurch,"crime,drama,mystery,thriller",2013,0,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart. crime,drama,mystery,thriller"
238,Brojects,"reality,home-and-garden",2016,0,"Brojects follows brothers Kevin and Andrew as they retreat from their everyday lives to their cottage sanctuary where they engage in challenging and often quirky DIY cottage building projects. The brothers devise imaginative projects aimed at turning their cottage into the ultimate weekend getaway reality,home-and-garden"
239,Broken,documentary,No info,1,This investigative docuseries shows how negligence and deceit in the production and marketing of popular consumer items can result in dire outcomes. documentary
240,Bromance,reality,2008,0,"Bromance is an American reality series that aired on MTV. It premiered on December 29, 2008. A spin-off of the MTV series The Hills, the show follows Brody Jenner as he searched to find a new best friend after his fall-out with longtime best friend Spencer Pratt. Nine men competed in challenges in an attempt to win a ""bromance"", or close male friendship, with Jenner.On February 2, 2009, it was revealed on air that Jenner had chosen Luke Verge as his new best friend. Along with Jenner's friendship and a spot in his entourage, Verge won a one year, rent-free stay in a fully furnished penthouse in downtown Los Angeles and a new Scion. reality"
241,Brotherhood,"crime,drama,thriller,action-and-adventure",2019,1,"An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction. crime,drama,thriller,action-and-adventure"
242,Brown Nation,comedy,2016,0,"Hasmukh operates a small IT Consulting company ""Shree Ganesh Computers Limited Inc"" in Queens, NY. Staffed by a disinterested and lazy cast of characters, his business flounders. His home life is not much better. His wife Dimple, a frustrated and jobless artist, complains constantly about not having enough time to explore her creativity because of the demands of taking care of her dog, Bobby. Hasmukh tries desperately to balance his work and family, but neither seem to have his best interest at heart. comedy"
243,B: The Beginning,"animation,anime,action-and-adventure,crime,drama,horror,science-fiction,thriller,fantasy,mystery",2018,1,"In a world powered by advanced technology, crime and action unfold in the archipelagic nation of Cremona. Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target. animation,anime,action-and-adventure,crime,drama,horror,science-fiction,thriller,fantasy,mystery"
244,Buddha,"drama,history,documentary,biography,action-and-adventure",2016,0,"Buddha is a mythological drama on Zee TV and Doordarshan,produced by B. K. Modi. The show airs from 8 September 2013 on Sunday at 11:00 am on Zee TV and Doordarshan. The programme stars Kabir Bedi in a cameo role as Asita Muni, the sage who announces the coming of Lord Gautam Buddha. The story of the serial is based on the life of Lord Buddha that shows how a prince,Siddhartha became a Buddha. drama,history,documentary,biography,action-and-adventure"
245,Buddi,animation,2020,1,"The Buddis bounce, spin, glide — and giggle! — through their magical world, learning new things and sharing the joy of friendship. animation"
246,Buddy Thunderstruck,"comedy,animation,action-and-adventure,children",2017,1,"Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit. comedy,animation,action-and-adventure,children"
247,Bumping Mics with Jeff Ross & Dave Attell,comedy,2018,1,"When Jeff Ross and Dave Attell take the stage, no one is safe. With the help of special guests, they're packing a lot of laughs into one epic weekend. comedy"
248,BUNK'D,"comedy,family",2015,0,"Siblings Emma, Ravi, and Zuri Ross leave their extravagant New York City penthouse once again to return to Camp Kikiwaka, a rustic summer camp in Maine where their parents met as teenagers. comedy,family"
249,Burnistoun,comedy,2009,0,"Burnistoun is a comedy sketch show broadcast by BBC Scotland, written by the Scottish comedians Iain Connell and Robert Florence. The show is produced by The Comedy Unit. Burnistoun is set in a fictional Scottish town/city in the greater Glasgow area. Characters include Kelly McGlade; Burnistoun's answer to Beyoncé; Paul and Walter, the disturbingly odd brothers that run an ice cream van; Jolly Boy John, who tells the things that make him ""For Real"" to the accompaniment of a happy hardcore soundtrack ; McGregor and Toshan, best friends Scott and Peter and the Burnistoun Butcher, a serial killer who is unhappy with the way he is being portrayed by the media.Connell and Florence have previously written sitcoms Empty and Legit and created characters for Chewin' the Fat and The Karen Dunbar Show.The third series started filming in January 2012 and began its run in August 2012. It has been confirmed on the show's Facebook page that series 3 will be its last. comedy"
250,Busted!,"comedy,game-show,mystery,reality",2008,1,"Suspense, surprises and fun abound in this Korean variety game show featuring big personalities and even bigger mysteries in every episode. comedy,game-show,mystery,reality"
251,Buy Herself,reality,2012,0,"Buy Herself is a Canadian reality television series, which premiered April 16, 2012 on HGTV Canada. Hosted by Sandra Rinomato, formerly of the HGTV series Property Virgins, the series focuses on single women who are seeking to buy their first house on their own. Its format is otherwise similar to that of Property Virgins, with Rinomato showing the potential buyer three homes and discussing how to manage and balance needs and expectations and complications in the home-buying process.Rinomato has stated in interviews that she was interested in doing a show focusing specifically on female homebuyers because as a relatively new social phenomenon, they face a unique set of personal and social pressures — such as family and cultural expectations that women are supposed to prioritize marriage over investment as a route to financial security — that can make the process more difficult and challenging for them than it is for a single man or a family. reality"
252,Cabins in the Wild with Dick Strawbridge,reality,2017,0,Dick Strawbridge and Will Hardie follow a competition to build a portable pop-up hotel in the wild comprised of eight stunning and unique themed cabins. reality
253,Cable Girls,drama,2017,1,"In 1920s Madrid, four women at the National Telephone Company ring in revolution as they deal with romance, envy and the modern workplace. drama"
254,Cagaster of an Insect Cage,"action-and-adventure,anime,drama,animation,science-fiction,fantasy",2020,1,"Thirty years after a disease that turns the infected into carnivorous insects emerged, a young exterminator and a teenage girl search for her mother. action-and-adventure,anime,drama,animation,science-fiction,fantasy"
255,Cain and Abel,"drama,romance,action-and-adventure",2009,0,"Cain and Abel is a 2009 South Korean television series starring So Ji-sub, Shin Hyun-joon, Han Ji-min, and Chae Jung-an. It aired on SBS from February 18 to April 23, 2009 on Wednesdays and Thursdays at 21:55 for 20 episodes. drama,romance,action-and-adventure"
256,Caliphate,"drama,thriller,crime",2020,1,"National Security agent Fatima receives a tip that a terrorist attack against Sweden is in the planning stage. Meanwhile Sulle, a teenage girl in Stockholm, gets interested in her student assistent who opens doors to a new and fascinating world - the true path. Kalifat is a thriller about the intermingled fates of five young women who get caught up in the seducing and destroying force of religious fundamentalism. drama,thriller,crime"
257,Call My Agent,"drama,comedy",2015,1,"In Paris, France, a group of movie-star agents go about their lives and work, and they'll have to figure out how to carry on with the agency after the passing of their fearless leader. This hour-long drama plays out much like a soap opera, with more realistic problems and concerns. They don't do Olympic-size gymnastics to get you to believe a plot or to create drama. drama,comedy"
258,Call the Midwife,"drama,history,family",2012,0,"Drama following the lives of a group of midwives working in the poverty-stricken East End of London during the 1950s, based on the best-selling memoirs of Jennifer Worth. drama,history,family"
259,Camelia La Texana,"crime,drama,romance",2014,0,"Inspired by the famous song ""Contrabando y Traición,"" Camelia, a beautiful girl from San Antonio, kills her lover and becomes a legendary drug runner. What turns a naïve Texas gal into a ruthless drug runner? Her cheatin', lyin' boyfriend, of course. crime,drama,romance"
260,Campus,comedy,2009,0,"Campus is a semi-improvised British sitcom created by the team behind the comedy sketch show Smack the Pony and hospital-based sitcom Green Wing, led by Victoria Pile who acts as co-writer, producer and director. It is set in the fictitious Kirke University and follows the lives of the staff, in particular the power-crazed and callous vice chancellor Jonty de Wolfe, lazy womanising English literature professor Matt Beer and newly promoted senior mathematics lecturer Imogen Moffat.Campus was first broadcast as a television pilot on Channel 4 on 6 November 2009, as part of the channel's Comedy Showcase season of comedy pilots. A full series was later commissioned and commenced airing on 5 April 2011, with the first episode being a re-shoot and expanded version of the pilot. When first broadcast many critics claimed it was too similar to Green Wing and that much of the humour was offensive. However, others praised the show's dark humour and surrealism. Campus was cancelled after one series due to poor TV ratings. Over the course of the first series the average ratings were 554,000 viewers per episode, or 2.99% of the total audience, which is below the Channel 4 average. comedy"
261,Canada's Worst Handyman,reality,2006,0,"They're armed, dangerous and pose an imminent threat to person and property - and you might even be one! Discovery Channel has tracked down five shockingly shoddy renovators and offers the critical tools to help them improve. reality"
262,Candy Online,"drama,family",2019,0,"When a wardrobe malfunction goes viral, a bubbly live streamer struggles to navigate her classmates' cruel judgment and the small town she lives in. drama,family"
263,Cannabis,"crime,drama,thriller",2016,0,"When a boatload of cannabis belonging to Moroccan drug lord El Feo is hijacked, the robbery has repercussions stretching across three countries. crime,drama,thriller"
264,Cannon Busters,"action-and-adventure,anime,animation,fantasy,science-fiction",2019,1,"With a maintenance robot and a deadly fugitive tagging along, friendship droid S.A.M searches for its best friend, the heir to a kingdom under siege. action-and-adventure,anime,animation,fantasy,science-fiction"
265,"Can't Cope, Won't Cope","comedy,drama",2016,0,"A darkly comic drama about two young women, as one of them starts to spiral out of control. Aisling used to getting her own way and Danielle, never one to hog the spotlight, is only too happy to go along with it. But things are changing. Reality is about to hit them, and hit them hard comedy,drama"
266,Can't Pay? We'll Take It Away!,documentary,2014,0,"Camera follow teams of High Court Enforcement Agents, dealing with the execution of High Court Writs. documentary"
267,Can We Get Married?,"drama,comedy,romance,family",2012,0,"Can We Get Married? is a 2012 South Korean television series starring Sung Joon, Jung So-min, Lee Mi-sook, Han Groo, and Kim Young-kwang. It aired on jTBC from October 29, 2012 to January 1, 2013 on Mondays and Tuesdays at 23:00 for 20 episodes. The romantic comedy explores the themes of love, marriage and family against the backdrop of a young couple preparing to get married in 100 days. drama,comedy,romance,family"
268,Captive,documentary,2016,1,"Documentary series reconstructing history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals. documentary"
269,Care Bears and Cousins,"animation,children",2015,1,"Care Bears and Cousins animation,children"
270,Care Bears: Welcome to Care-a-Lot,"animation,children,family",2012,0,"The Care Bears try to help kids and have fun in Care-a-Lot, but must contend with the antics of the mischievous Beastly and the young Beasties. animation,children,family"
271,Car Masters: Rust to Riches,reality,2018,1,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks. reality"
272,Carmen Sandiego,"action-and-adventure,animation,family,mystery",2019,1,"Carmen Sandiego returns in this series that follows her new international capers as well as past escapades that led to her becoming a super thief. action-and-adventure,animation,family,mystery"
